"HGME.ID","Parent Code","Book No.","Extract No.","Sample No.","Expt Date","Extraction Solvents","Replicate","Internal Standards?","Crude Wt / g","Tare / g","Final / g","Extract Wt / mg","Storage Location","Other Identifiers?","Notes"
"HGME_0205","HGME_0196","MC01-54","AQ","MC01-54-AQ",NA,"Water","3","No",NA,337.83,NA,"-337830",NA,NA,NA
"HGME_0206","HGME_0197","MC01-58","DCM","MC01-58-DCM",NA,"DCM","1","No",NA,16.7923,17.0206,"228.30000000000084",NA,NA,NA
"HGME_0207","HGME_0197","MC01-58","AQ","MC01-58-AQ",NA,"Water","1","No",NA,335.91,NA,"-335910",NA,NA,NA
"HGME_0208","HGME_0198","MC01-59","DCM","MC01-59-DCM",NA,"DCM","2","No",NA,16.7865,16.9446,"158.10000000000102",NA,NA,NA
"HGME_0209","HGME_0198","MC01-59","AQ","MC01-59-AQ",NA,"Water","2","No",NA,334.24,NA,"-334240",NA,NA,NA
"HGME_0210","HGME_0199","MC01-60","DCM","MC01-60-DCM",NA,"DCM","3","No",NA,16.7396,16.9421,"202.50000000000057",NA,NA,NA
"HGME_0211","HGME_0199","MC01-60","AQ","MC01-60-AQ",NA,"Water","3","No",NA,337.84,NA,"-337840",NA,NA,NA
"HGME_0212","HGME_0201","MC01-60","AQP1","MC01-60-AQP1",2024-10-24,"Water",NA,"No",NA,1.1169,1.1177,"0.79999999999991189",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0213","HGME_0201","MC01-60","AQP2","MC01-60-AQP2",2024-10-24,"Water",NA,"No",NA,1.1122,1.1181,"5.9000000000000163",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0214","HGME_0201","MC01-60","AQP3","MC01-60-AQP3",2024-10-24,"Water",NA,"No",NA,1.105,1.1057,"0.69999999999992291",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0215","HGME_0201","MC01-60","AQP4","MC01-60-AQP4",2024-10-24,"Water",NA,"No",NA,1.1112,1.1127,"1.5000000000000568",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
